Application_mode,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Previous_qualification_grade,Admission_grade,Displaced,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade
43,1,1,0,0,21,120.0,120.0,0,5,5,13.2,5,2,12.5
39,0,1,1,0,31,130.0,160.0,0,6,2,12.0,6,1,10.0
39,0,1,1,0,46,110.0,150.0,1,5,0,0.0,5,0,0.0
1,0,1,1,0,18,133.0,121.8,1,5,4,12.0,5,2,11.0
17,0,1,1,0,19,138.0,125.4,1,5,3,13.333333333333334,5,4,10.75
51,0,1,1,0,23,131.0,126.6,1,7,5,12.414285714285713,7,2,13.5
44,0,0,1,0,22,150.0,150.0,0,5,0,0.0,5,0,0.0
1,0,1,1,0,19,125.0,114.5,1,5,5,13.8,5,5,12.4
1,1,0,0,0,19,108.0,107.0,0,5,0,0.0,5,0,0.0
17,0,0,1,0,22,116.0,115.7,0,5,4,11.5,5,4,14.0
39,1,0,1,0,29,133.1,120.0,0,5,0,0.0,5,0,0.0
1,0,1,0,0,18,147.0,134.8,1,7,6,14.016666666666666,7,6,14.016666666666666
1,0,1,0,0,18,143.0,133.6,1,6,5,11.4,6,5,10.8
1,1,0,0,1,23,115.0,129.0,1,0,0,0.0,0,0,0.0
39,0,1,0,0,34,160.0,128.4,0,5,5,10.4,5,5,12.0
17,0,1,0,0,19,118.0,122.2,0,5,3,10.666666666666666,5,4,10.25
1,0,1,0,0,18,122.0,113.3,1,5,4,14.25,5,5,12.714285714285714
17,0,1,0,1,20,143.0,129.9,0,7,7,13.914285714285713,8,8,14.10625
1,0,1,0,0,19,133.0,126.2,1,7,7,13.761111111111113,8,7,12.82375
5,0,1,0,0,22,122.0,112.6,1,6,5,12.6,6,4,11.25
1,0,1,0,1,23,164.0,149.0,1,6,6,13.857142857142858,6,6,14.166666666666666
39,0,1,1,1,34,133.1,120.0,0,8,7,13.842857142857143,8,7,13.842857142857143
17,1,0,1,0,18,127.0,120.4,1,5,0,0.0,5,0,0.0
1,0,1,1,0,21,140.0,128.1,1,6,5,11.8,6,0,0.0
1,0,1,1,0,22,127.0,141.7,1,6,6,12.666666666666666,6,6,13.833333333333334
39,0,1,1,0,28,133.1,130.0,0,6,0,0.0,6,0,0.0
5,0,1,1,0,23,115.0,113.3,1,5,0,0.0,5,0,0.0
1,0,1,1,0,20,108.0,105.9,0,6,4,10.75,6,2,10.0
18,0,1,1,0,18,136.0,122.7,1,5,5,12.6,5,3,13.25
39,1,0,1,0,28,133.1,120.0,1,5,0,0.0,5,0,0.0
44,0,1,1,0,21,120.0,119.8,0,7,2,12.0,9,7,12.142857142857142
39,1,0,1,0,25,133.1,122.9,0,6,3,14.0,6,2,14.5
44,0,0,1,0,19,160.0,160.0,1,6,6,14.0,6,6,13.5
1,0,1,1,1,18,128.0,125.2,1,7,7,14.682857142857143,8,8,15.055555555555555
39,0,1,1,0,29,130.0,143.4,0,3,0,0.0,5,0,0.0
39,0,1,1,1,29,133.1,96.7,0,5,0,0.0,5,0,0.0
18,0,1,1,0,20,137.0,126.9,0,6,6,13.857142857142858,6,5,12.8
1,0,1,1,0,18,163.0,143.1,0,0,0,0.0,0,0,0.0
1,0,1,1,0,20,125.0,114.5,0,6,6,13.142857142857142,6,6,12.5
39,0,1,1,0,33,120.0,140.0,1,5,1,18.0,5,2,13.0
42,0,1,1,0,30,150.0,113.7,0,15,13,11.461538461538462,11,10,11.583333333333334
1,0,1,1,1,21,135.0,131.5,0,7,5,11.2,8,6,11.583333333333334
1,1,1,1,0,18,148.0,143.5,0,6,5,15.0,6,4,14.5
1,0,1,1,1,19,138.0,126.8,0,7,7,14.244444444444444,8,8,12.233333333333333
17,0,1,1,1,21,119.0,115.2,0,6,4,11.5,6,5,11.0
39,0,1,1,1,25,130.0,100.0,0,7,2,10.0,7,0,0.0
1,0,1,1,0,19,135.0,121.4,0,5,3,12.333333333333334,5,5,11.6
44,0,1,1,0,23,120.0,120.0,1,7,5,12.2,9,7,12.142857142857142
17,0,1,1,1,19,126.0,129.9,1,6,6,13.666666666666666,6,5,13.2
1,0,1,1,0,19,149.0,151.1,1,0,0,0.0,0,0,0.0
39,1,0,1,0,31,110.0,120.0,0,6,1,11.0,6,0,0.0
39,1,0,1,0,32,133.1,130.0,0,6,3,13.0,10,6,11.428571428571429
16,0,1,0,1,19,127.0,119.0,1,8,7,12.599999999999998,8,7,12.599999999999998
42,0,1,0,0,34,120.0,122.0,1,10,10,12.2,10,9,12.333333333333334
16,0,1,0,0,21,136.0,129.7,1,6,6,13.166666666666666,6,6,13.0
43,0,1,0,1,53,110.0,112.5,1,7,6,11.0,7,7,11.0
1,0,1,0,1,19,136.0,136.0,0,7,7,14.014285714285714,8,8,15.35
1,0,1,0,1,20,145.0,133.1,0,6,4,13.0,6,4,11.25
1,0,1,0,0,18,159.0,151.3,1,6,6,14.0,6,6,14.666666666666666
39,0,0,0,0,32,147.0,133.3,0,0,0,0.0,0,0,0.0
43,0,1,0,1,21,150.0,130.8,1,8,7,14.428571428571429,8,7,14.428571428571429
7,0,0,0,0,26,140.0,140.0,0,5,0,0.0,5,0,0.0
42,0,1,0,0,26,150.0,150.0,1,18,18,11.833333333333334,13,13,12.461538461538462
44,0,0,0,0,21,130.0,130.0,0,5,3,11.333333333333334,5,1,13.0
17,0,1,0,0,18,120.0,125.3,0,6,6,12.5,6,6,13.0
43,0,1,0,1,21,130.0,124.0,1,12,12,13.333333333333334,12,11,12.545454545454543
1,0,1,0,0,21,112.0,113.8,1,6,6,10.833333333333334,6,4,11.0
17,0,1,0,1,19,128.0,124.4,0,6,6,13.0,6,6,14.0
17,0,1,0,0,19,114.0,107.7,0,5,2,10.0,5,2,14.0
43,0,1,0,1,19,118.0,110.0,0,6,6,11.428571428571429,6,5,11.2
7,0,1,0,0,27,130.0,130.0,1,8,8,12.8875,8,8,12.8875
1,0,1,0,1,18,145.0,138.8,1,7,6,12.95,7,6,12.95
1,0,1,0,0,20,121.0,126.3,1,5,1,10.0,5,0,0.0
1,0,1,0,1,19,114.0,114.5,1,7,7,13.094285714285714,8,8,12.55
1,0,1,0,0,20,127.0,116.5,1,6,0,0.0,6,0,0.0
17,0,1,0,1,19,145.0,128.6,1,6,5,11.714285714285714,6,6,11.0
17,0,1,0,0,20,130.0,130.0,1,6,4,11.25,6,3,10.0
1,0,1,0,0,20,150.0,134.6,0,0,0,0.0,0,0,0.0
1,0,1,0,0,18,145.0,146.8,0,6,6,13.166666666666666,6,6,13.333333333333334
1,0,1,0,0,20,128.0,135.7,1,5,4,12.75,5,5,13.4
39,0,0,0,0,38,140.0,120.0,0,5,5,10.6,5,2,11.0
39,0,1,0,0,42,130.0,138.0,0,6,5,11.2,6,6,12.0
39,0,1,0,0,32,140.0,135.5,0,7,0,0.0,8,0,0.0
15,0,1,0,0,22,120.0,120.0,1,6,6,13.0,6,6,13.666666666666666
39,0,1,0,0,28,147.0,111.7,1,5,0,0.0,5,0,0.0
39,0,1,0,0,37,133.1,100.0,1,6,0,0.0,6,0,0.0
44,0,1,0,0,43,160.0,160.0,0,6,6,14.166666666666666,6,6,15.0
39,0,1,0,1,41,133.1,114.8,0,6,5,12.833333333333334,6,6,12.333333333333334
39,0,1,0,1,29,140.0,131.0,0,6,4,11.75,6,5,10.4
39,0,1,0,1,35,133.1,97.0,0,6,6,10.833333333333334,6,6,11.5
17,0,1,0,0,18,131.0,131.7,1,6,4,11.75,6,4,12.25
39,0,0,0,1,39,133.1,120.0,0,7,3,11.5,7,2,10.5
39,0,1,0,0,37,120.0,110.0,0,5,2,10.0,5,3,11.333333333333334
39,0,1,0,1,26,130.0,133.0,1,7,6,13.7,7,6,13.7
7,0,1,0,0,32,140.0,140.0,1,5,1,14.0,5,0,0.0
39,1,1,0,0,37,133.1,100.0,0,8,7,11.375,7,6,12.166666666666666
39,1,1,0,0,28,140.0,129.3,1,6,0,0.0,6,0,0.0
1,0,1,0,0,19,133.1,137.0,1,6,0,0.0,6,0,0.0
1,0,1,0,0,18,125.0,122.2,1,5,1,11.0,5,2,12.5
1,0,1,0,1,19,115.0,108.0,0,7,6,13.0,7,7,13.285714285714286
7,0,1,0,0,32,110.0,110.0,0,11,8,13.6,8,8,15.11111111111111
39,0,1,0,0,31,140.0,127.7,1,5,3,11.0,5,2,11.5
39,0,1,0,0,34,100.0,121.3,1,8,7,11.705714285714285,8,7,11.705714285714285
1,0,1,0,0,20,145.0,140.1,1,12,12,13.25,11,11,14.333333333333334
39,0,1,0,0,28,133.1,114.8,0,7,1,10.75,7,1,10.0
44,0,1,0,0,31,150.0,150.0,0,6,6,12.0,7,7,13.428571428571429
1,0,1,0,0,18,145.0,131.7,1,6,6,12.666666666666666,6,4,12.25
39,0,0,0,0,31,133.1,110.0,0,6,5,11.4,6,3,11.0
1,0,1,0,0,19,110.0,105.5,1,6,6,13.0,6,5,12.4
1,0,1,0,1,19,128.0,127.3,1,6,6,14.0,6,6,12.285714285714286
39,0,1,0,0,31,133.1,130.0,1,6,0,0.0,5,0,0.0
7,0,1,0,0,34,130.0,130.0,0,6,0,0.0,6,0,0.0
16,0,1,0,1,18,137.0,122.7,1,7,7,15.285714285714286,8,8,16.075
17,0,1,0,0,18,123.0,113.9,1,6,6,13.166666666666666,6,6,12.666666666666666
1,1,1,1,0,19,156.0,151.1,0,5,5,13.6,5,5,12.833333333333334
17,0,0,1,1,22,133.1,125.8,1,4,0,0.0,4,0,0.0
43,0,1,1,0,32,100.0,128.2,0,10,10,11.4,9,4,11.5
39,0,1,1,0,61,140.0,135.1,0,5,0,0.0,5,0,0.0
39,0,1,1,0,30,130.0,120.2,1,5,5,11.0,5,5,11.6
39,1,0,1,0,45,133.1,132.8,0,5,0,0.0,5,0,0.0
44,0,1,1,0,20,140.0,140.0,0,6,6,13.571428571428571,6,6,12.666666666666666
18,0,1,0,0,19,137.0,129.3,0,7,0,0.0,8,0,0.0
42,0,1,1,0,26,120.0,108.2,1,10,4,11.25,11,4,12.0
17,0,1,1,0,19,125.0,125.4,1,5,3,13.333333333333334,5,1,11.0
17,0,1,1,1,19,130.0,140.2,0,6,6,12.0,6,6,11.666666666666666
1,0,1,1,0,19,115.0,116.1,1,6,6,12.5,6,5,13.0
1,0,1,1,1,19,150.0,137.8,1,5,5,13.2,5,5,12.666666666666666
1,0,0,1,0,19,134.0,128.4,1,5,0,0.0,4,0,0.0
39,0,0,1,0,28,120.0,106.0,1,5,3,11.666666666666666,5,2,11.5
43,0,1,1,0,24,141.0,130.2,0,15,15,13.466666666666669,14,14,13.642857142857142
1,0,1,1,0,18,133.0,126.0,0,5,3,13.666666666666666,5,5,13.2
1,0,1,1,0,18,149.0,141.0,0,5,2,11.666666666666666,5,2,12.5
1,0,1,1,1,18,121.0,113.0,1,6,6,11.666666666666666,6,5,10.2
44,0,1,1,0,21,120.0,120.0,0,6,5,13.4,6,5,12.4
39,0,0,1,0,28,148.0,130.9,0,5,0,0.0,5,0,0.0
39,0,1,1,0,58,133.1,120.0,0,6,0,0.0,6,0,0.0
39,0,0,1,0,49,135.0,134.1,1,5,0,0.0,5,0,0.0
39,0,1,1,0,24,150.0,120.0,0,5,3,10.666666666666666,5,2,10.5
43,0,1,1,0,25,130.0,114.8,0,5,4,13.75,5,4,14.75
42,0,1,1,0,33,133.1,123.0,1,5,1,10.0,5,0,0.0
39,0,0,1,0,33,133.1,118.0,0,5,0,0.0,5,0,0.0
43,0,1,1,0,40,110.0,100.0,0,2,1,16.0,4,4,15.5
39,0,1,1,0,48,170.0,151.1,0,5,5,12.285714285714286,5,5,11.125
17,1,0,1,0,18,120.0,116.9,1,5,3,12.0,5,3,10.333333333333334
39,0,1,1,0,24,133.1,106.0,1,7,6,12.666666666666666,7,6,12.666666666666666
1,0,1,1,1,23,139.0,127.1,0,5,5,11.8,5,4,13.25
39,1,0,1,0,39,133.1,155.5,1,5,5,10.6,5,5,14.666666666666666
18,0,1,1,0,21,133.1,101.0,0,11,9,11.9,9,8,12.25
42,0,1,1,0,34,120.0,128.2,1,6,4,11.25,5,2,10.5
39,0,1,1,1,41,100.0,113.0,0,5,4,11.0,5,5,11.4
1,0,1,1,0,18,134.0,122.8,0,6,6,12.0,6,6,12.5
39,0,1,1,0,34,130.0,145.6,0,5,4,11.75,5,4,10.833333333333334
1,0,1,1,0,19,128.0,116.5,0,5,2,10.0,5,1,16.0
1,0,1,1,0,19,154.0,142.0,0,8,7,13.714285714285714,8,7,13.714285714285714
7,0,1,1,0,28,150.0,150.0,0,6,6,14.875,6,6,15.8
17,0,1,1,0,18,134.0,133.3,1,6,5,10.8,6,0,0.0
1,0,1,1,0,19,127.0,115.8,1,6,3,12.0,6,2,10.0
17,1,0,1,0,19,133.1,100.0,1,6,5,12.5,6,2,13.5
17,0,1,0,0,18,130.0,128.6,1,7,7,14.728571428571428,8,8,16.327272727272728
1,0,1,0,0,18,135.0,137.1,1,6,6,12.0,6,5,14.8
1,0,1,0,0,18,143.0,149.0,1,6,6,11.428571428571429,6,6,11.0
44,0,1,0,0,19,150.0,147.0,1,6,6,14.166666666666666,6,6,13.5
7,0,1,0,0,31,150.0,150.0,0,6,5,12.5,6,5,14.6
39,0,1,0,1,33,130.0,103.5,0,6,6,14.166666666666666,6,6,14.333333333333334
1,0,1,0,1,20,113.0,107.8,1,7,5,14.46,7,6,13.55
44,0,1,0,0,22,130.0,130.0,1,6,5,12.8,6,2,11.5
17,0,1,0,0,19,115.0,109.4,1,6,6,12.666666666666666,6,5,13.4
1,0,1,0,0,18,146.0,143.6,1,6,6,12.5,6,6,13.0
17,0,1,0,0,18,132.0,124.3,0,6,0,0.0,6,0,0.0
1,0,0,0,0,18,116.0,119.5,1,6,0,0.0,6,0,0.0
1,0,1,0,0,18,163.0,175.6,1,0,0,0.0,0,0,0.0
17,0,1,0,1,19,122.0,116.1,1,5,5,11.2,5,3,11.0
17,0,1,0,0,18,136.0,126.6,1,6,6,16.5,6,6,17.428571428571427
17,0,1,0,0,18,142.0,130.8,1,5,3,13.666666666666666,5,5,12.0
17,0,1,0,1,18,139.0,133.5,1,8,7,15.228571428571428,8,7,15.228571428571428
53,0,1,0,0,21,140.0,136.9,1,9,9,12.77777777777778,9,9,13.22222222222222
1,0,1,0,1,18,165.0,142.3,0,8,7,14.428571428571429,8,7,14.428571428571429
17,0,1,0,0,18,122.0,114.3,1,6,6,13.875,6,6,13.714285714285714
1,0,1,0,0,18,135.0,122.9,1,7,7,13.128,8,6,13.193333333333332
17,0,1,0,0,20,128.0,117.2,1,7,6,11.605,8,7,12.4125
17,0,1,0,1,18,139.0,152.0,0,5,5,14.6,5,5,12.0
1,0,1,0,0,18,125.0,122.2,1,6,0,0.0,6,0,0.0
18,0,1,0,1,20,102.0,101.7,1,5,5,11.8,5,5,11.6
17,0,1,0,0,20,116.0,119.9,1,6,6,12.333333333333334,6,6,12.333333333333334
17,1,1,0,1,19,138.0,123.7,1,5,4,11.0,5,0,0.0
51,0,1,0,1,19,135.0,121.8,0,11,11,13.181818181818182,11,11,12.909090909090908
17,1,0,0,1,18,110.0,106.1,1,6,1,11.0,6,0,0.0
17,1,1,0,1,19,132.0,124.3,1,6,6,11.833333333333334,6,6,12.285714285714286
1,0,1,0,1,20,126.0,124.3,1,8,8,12.98125,8,8,12.98125
44,0,1,0,0,21,117.4,117.4,1,7,6,11.333333333333334,5,5,11.2
43,0,1,0,0,21,120.0,112.7,0,8,6,11.68,8,6,11.68
17,0,1,0,0,20,116.0,123.7,0,6,6,14.5,6,6,13.5
18,0,1,0,0,19,111.0,105.8,1,7,7,13.142857142857142,7,7,12.857142857142858
17,0,0,0,0,21,128.0,124.2,0,5,2,11.5,5,2,10.5
1,0,1,0,0,18,123.0,122.3,0,5,5,14.2,5,5,11.8
1,0,1,0,1,19,131.0,123.7,0,6,5,11.666666666666666,6,5,12.2
17,0,1,0,0,18,135.0,129.8,1,7,7,13.175,8,8,14.875
1,0,1,0,1,19,136.0,123.8,1,8,7,13.314285714285717,8,7,13.314285714285717
1,0,1,0,1,18,132.0,126.4,1,5,3,10.6,5,3,10.5
1,0,1,0,1,18,120.0,115.1,0,6,4,12.0,6,4,10.75
1,0,1,0,0,18,144.0,138.4,0,6,6,13.428571428571429,6,6,14.142857142857142
17,0,1,0,1,18,129.0,118.2,1,5,4,13.25,5,5,15.571428571428571
17,0,1,0,0,18,136.0,121.7,1,6,2,13.0,6,0,0.0
1,0,1,0,1,18,125.0,118.0,0,6,6,14.333333333333334,6,6,14.0
17,0,1,0,0,18,125.0,119.8,0,6,0,0.0,6,0,0.0
1,0,1,0,0,18,154.0,164.9,0,6,6,14.0,6,6,13.166666666666666
42,0,1,0,1,20,100.0,100.0,1,2,2,12.0,6,6,12.833333333333334
1,0,1,0,0,18,124.0,121.6,0,6,5,12.333333333333334,6,5,10.6
17,0,1,0,0,18,126.0,120.4,1,6,5,11.8,6,5,10.4
18,0,1,0,1,20,124.0,117.8,0,8,7,12.791428571428572,8,7,12.791428571428572
43,0,1,0,0,40,150.0,110.0,0,8,8,11.625,7,5,11.2
1,0,1,0,1,18,133.0,128.8,1,7,6,11.994444444444444,8,7,12.43142857142857
1,0,1,0,0,19,126.0,116.6,1,6,5,11.6,6,5,12.2
7,0,1,0,0,24,120.0,120.0,0,5,0,0.0,5,0,0.0
1,0,1,0,0,19,175.0,157.5,1,6,6,13.166666666666666,6,6,13.166666666666666
1,0,1,0,0,19,141.0,136.3,1,8,7,14.1,8,7,14.1
1,0,1,0,1,20,133.0,121.5,1,7,6,12.396666666666668,8,7,12.94285714285714
1,0,1,0,0,18,143.0,133.9,0,7,7,15.014285714285714,8,8,16.0875
1,0,1,0,1,18,141.0,136.8,1,0,0,0.0,0,0,0.0
17,0,1,0,0,19,134.0,133.5,1,7,7,14.05,8,8,15.1
17,0,1,0,0,18,138.0,130.0,1,7,7,14.85,8,8,15.2
44,0,1,0,0,19,140.0,140.0,1,6,6,13.0,6,5,13.0
1,0,1,0,1,19,142.0,132.7,1,7,7,14.7875,8,8,15.8625
1,0,1,0,1,19,118.0,117.8,0,7,7,13.7,8,7,14.671428571428574
1,0,1,0,1,19,131.0,126.1,1,7,7,12.495714285714286,8,7,12.242857142857144
1,0,1,0,0,19,130.0,120.0,0,7,6,14.566666666666668,7,6,14.566666666666668
39,1,0,0,0,25,133.1,100.0,1,5,5,11.2,5,4,11.25
1,0,1,0,0,20,130.0,116.8,0,8,7,12.685714285714283,8,7,12.685714285714283
53,1,0,0,0,23,130.0,128.3,0,9,7,13.571428571428571,9,4,13.25
1,0,1,0,0,20,133.1,117.0,0,6,0,0.0,6,0,0.0
39,0,1,0,0,27,130.0,131.5,0,6,5,11.0,6,6,11.166666666666666
1,0,1,0,0,18,149.0,134.8,0,8,8,14.445,8,8,14.445
1,1,1,0,0,18,163.0,146.6,1,6,5,13.6,6,4,11.75
7,1,0,0,0,23,130.0,130.0,1,12,11,14.0,10,8,14.625
1,0,1,0,1,19,145.0,127.5,1,7,6,13.416666666666666,7,6,13.416666666666666
1,0,1,0,0,18,130.0,123.0,0,5,5,12.333333333333334,5,5,11.4
43,0,1,0,0,20,128.0,100.0,1,7,7,13.1,8,8,14.8125
1,0,1,0,0,18,111.0,114.2,1,6,4,13.2,6,5,12.8
1,0,1,0,1,19,140.0,123.5,1,8,8,14.75,8,8,14.75
44,0,1,0,1,19,140.0,144.3,1,6,6,13.142857142857142,6,6,14.333333333333334
1,0,1,0,0,19,145.0,142.2,0,6,4,12.5,6,5,12.5
1,0,1,0,0,18,151.0,161.9,0,5,4,13.75,5,5,14.857142857142858
1,0,1,0,0,18,132.0,135.9,0,6,5,12.4,6,6,13.0
1,0,1,0,0,18,116.0,110.1,1,6,6,13.333333333333334,6,6,12.0
2,0,0,0,0,28,120.0,122.5,0,11,11,11.727272727272728,8,8,12.0
17,0,1,0,0,19,158.0,138.1,1,6,4,12.5,6,1,14.0
43,1,1,0,0,20,116.0,117.3,1,0,0,0.0,0,0,0.0
1,0,1,0,1,19,112.0,106.8,1,7,6,13.533333333333331,8,7,13.614285714285714
1,0,1,0,1,20,126.0,120.1,0,6,6,13.166666666666666,6,6,12.666666666666666
1,0,1,0,1,19,120.0,116.5,1,6,5,13.2,6,5,11.0
51,0,1,0,0,21,117.0,120.0,1,6,5,12.2,6,4,12.6
1,0,1,0,1,19,153.0,139.7,1,7,7,13.428571428571429,7,7,14.857142857142858
1,0,1,0,1,18,124.0,123.7,1,6,6,12.714285714285714,6,6,12.625
17,0,1,0,0,19,127.0,116.5,0,6,0,0.0,6,0,0.0
17,0,1,0,1,19,126.0,122.2,0,6,6,13.666666666666666,6,6,13.666666666666666
1,1,1,0,0,20,133.1,146.0,0,6,5,11.0,6,6,13.166666666666666
17,0,1,0,0,18,114.0,108.8,1,7,5,11.4,7,6,13.333333333333334
43,0,1,0,0,18,133.0,133.0,0,0,0,0.0,0,0,0.0
17,0,1,0,0,18,130.0,123.8,0,5,4,12.0,5,5,12.0
17,0,1,0,0,18,127.0,120.0,0,6,0,0.0,6,0,0.0
17,0,1,0,0,18,143.0,126.9,1,6,5,11.0,6,6,11.666666666666666
18,0,1,0,0,20,130.0,121.3,1,6,5,12.0,6,6,11.571428571428571
17,0,1,0,1,19,136.0,129.0,1,7,7,13.308571428571428,8,8,12.55
1,1,0,0,0,21,125.0,114.9,1,6,3,13.666666666666666,6,3,10.666666666666666
17,1,0,0,0,20,110.0,106.5,1,6,0,0.0,6,0,0.0
1,0,1,0,0,18,130.0,133.9,1,6,5,12.2,6,4,11.25
1,0,1,0,1,20,135.0,124.9,0,6,6,12.666666666666666,6,6,12.833333333333334
1,0,1,0,1,19,133.0,128.5,1,8,8,14.07125,8,8,14.07125
1,0,1,0,0,22,122.0,126.2,1,5,4,14.25,5,5,13.2
17,0,0,0,0,22,122.0,121.7,1,6,0,0.0,2,0,0.0
1,0,1,0,0,18,121.0,120.0,1,6,3,12.0,6,4,10.25
43,0,1,0,0,21,123.0,113.2,0,10,6,11.166666666666666,10,7,10.571428571428571
1,0,1,0,0,19,128.0,120.3,1,6,2,13.0,6,5,11.6
1,0,1,0,0,19,139.0,127.8,1,0,0,0.0,0,0,0.0
1,0,1,0,1,20,124.0,123.3,1,8,7,14.901428571428571,8,7,14.901428571428571
1,1,1,0,1,18,135.0,126.3,1,7,7,12.65,8,8,12.445555555555554
51,0,0,0,0,22,110.0,128.2,0,12,7,11.0,5,5,10.6
17,0,1,0,0,20,138.0,134.9,1,5,4,12.4,5,5,12.666666666666666
44,0,1,0,0,19,140.0,140.0,0,6,6,12.0,6,6,12.666666666666666
1,0,1,0,1,19,126.0,115.5,1,7,7,12.135714285714286,8,7,13.328571428571427
1,0,1,0,1,20,113.0,106.7,1,7,5,12.62,7,6,12.5
39,0,1,0,0,25,120.0,140.0,0,5,3,10.666666666666666,5,3,11.333333333333334
1,0,1,0,1,19,145.0,136.6,0,7,6,13.766666666666666,8,7,14.051428571428572
18,0,1,0,0,19,124.0,119.3,1,8,8,13.11625,8,8,13.11625
1,0,0,0,0,19,160.0,152.0,1,5,0,0.0,6,0,0.0
1,0,1,0,0,20,138.0,144.3,0,7,6,12.7,8,7,13.571428571428571
39,0,1,0,0,25,130.0,159.0,1,7,7,11.857142857142858,8,5,11.7
17,0,1,0,1,20,127.0,129.5,1,7,6,12.333333333333334,7,6,12.333333333333334
39,0,1,0,0,24,170.0,140.0,1,6,4,15.75,6,5,16.4
1,0,1,0,0,20,111.0,105.4,0,5,5,13.333333333333334,5,5,13.2
42,0,1,0,0,21,100.0,136.0,1,7,7,14.355555555555554,8,8,13.49375
44,1,1,0,1,19,160.0,160.0,0,6,6,13.0,6,5,13.0
1,0,1,0,1,19,152.0,139.1,0,6,6,12.833333333333334,6,6,13.5
1,0,1,0,1,21,144.0,126.9,0,5,5,13.2,5,4,13.0
39,0,1,0,0,28,133.8,184.0,0,7,7,17.005555555555556,8,8,16.582222222222224
1,1,0,0,1,19,125.0,125.0,1,6,5,10.6,6,5,11.0
1,0,1,0,1,18,150.0,138.5,0,5,5,14.0,5,5,13.6
17,0,1,0,1,18,143.0,133.5,1,8,7,12.114285714285714,8,7,12.114285714285714
1,0,1,0,1,18,145.0,141.5,1,8,8,13.05875,8,8,13.05875
42,0,1,0,0,22,120.0,130.0,1,8,7,13.285714285714286,8,7,13.285714285714286
1,0,1,0,0,19,138.0,131.0,1,5,4,11.0,5,3,10.666666666666666
1,0,1,0,1,18,145.0,145.0,0,7,7,14.071428571428571,8,8,15.1625
17,0,0,0,0,20,122.0,114.3,0,6,0,0.0,6,0,0.0
44,0,0,0,0,26,110.0,108.3,0,9,4,11.25,10,3,11.0
1,0,1,0,1,18,136.0,125.2,1,6,6,14.0,6,6,13.625
1,0,1,0,1,21,145.0,131.7,1,6,6,12.166666666666666,6,3,11.666666666666666
17,0,1,0,0,18,141.0,126.3,1,8,7,13.297142857142855,8,7,13.297142857142855
1,0,1,0,0,20,149.0,147.6,1,6,6,13.923076923076923,6,6,14.25
1,0,1,0,0,18,130.0,125.1,1,7,7,13.37,8,7,12.833333333333334
17,0,1,0,1,19,121.0,123.8,0,5,5,12.4,5,3,11.0
1,0,1,0,0,20,128.0,130.8,1,5,4,15.0,5,4,13.75
1,1,1,0,1,18,152.0,154.1,0,6,6,13.333333333333334,6,6,12.571428571428571
16,0,1,0,1,20,132.0,122.6,1,5,3,12.0,5,4,12.625
1,0,1,0,0,22,107.0,103.5,1,6,5,13.4,6,5,12.2
1,0,1,0,0,18,131.0,132.8,1,0,0,0.0,0,0,0.0
51,0,1,0,0,21,141.0,100.0,0,5,4,11.5,5,5,11.4
18,0,1,0,0,18,120.0,115.8,0,7,6,12.0,7,6,12.166666666666666
1,0,1,0,0,18,148.0,133.8,0,8,7,13.485714285714284,8,7,13.485714285714284
1,0,1,0,1,18,130.0,118.5,0,6,6,12.0,6,6,11.285714285714286
17,0,1,0,0,19,145.0,150.3,1,0,0,0.0,0,0,0.0
17,0,1,0,0,19,112.0,107.8,1,5,3,10.333333333333334,5,3,14.428571428571429
1,0,1,0,0,19,138.0,127.5,1,7,5,12.94,7,5,13.76
1,0,1,0,0,19,135.0,120.5,1,8,7,13.258571428571427,8,7,13.258571428571427
1,0,1,0,0,19,118.0,117.3,1,5,4,12.25,5,4,12.0
17,0,0,0,0,19,123.0,120.6,1,6,3,11.666666666666666,6,1,10.0
16,0,1,0,1,21,126.0,118.7,1,6,6,13.571428571428571,6,6,12.5
1,0,1,0,1,20,150.0,130.8,0,6,5,11.8,6,5,11.833333333333334
1,0,1,0,1,20,121.0,112.6,1,5,5,14.2,5,5,13.285714285714286
39,0,1,0,0,41,133.1,117.2,0,5,5,11.0,5,5,11.8
7,0,1,0,0,32,130.0,130.0,1,7,4,13.625,7,7,12.6375
17,0,1,0,0,18,139.0,131.8,1,8,7,14.652857142857142,8,7,14.652857142857142
39,0,1,0,1,35,160.0,97.0,0,6,6,11.333333333333334,6,6,11.333333333333334
39,1,0,0,0,32,110.0,130.0,0,7,4,13.7,7,0,0.0
39,0,1,0,0,37,140.0,148.0,0,11,11,13.727272727272728,8,8,14.75
39,0,1,0,0,30,130.0,103.4,0,7,7,11.75,8,7,11.142857142857142
43,0,1,1,0,23,132.0,127.1,0,6,6,12.333333333333334,6,5,13.0
17,0,1,0,1,20,139.0,124.0,1,6,6,14.0,6,6,13.857142857142858
1,0,1,1,0,21,135.0,121.4,0,5,4,11.5,5,4,11.75
1,0,1,1,0,19,117.0,118.1,0,5,5,11.2,5,5,13.2
